N,Bal,Brick,Dist,District,Floor,Kitsp,Link,Livesp,Metrdist,NFloor,New,Price,Tel,Totsp,Walk,rooms
728,1,1,2.4422904464398902,0,5,7.0,150240755,30.0,7.0,9,0,17700000,1,54.0,0,2.0
729,0,0,4.9287251940534915,0,1,9.0,150588057,32.4,10.0,5,0,10500000,1,53.3,1,2.0
730,0,,1.4377244747896543,0,5,23.0,150236129,93.0,8.0,7,0,76000000,,156.0,1,3.0
731,1,1,1.959252304159211,0,4,10.0,150746557,43.0,10.0,5,0,43000000,1,63.0,1,3.0
732,0,1,3.529471729619114,0,2,22.0,147471757,30.0,7.0,2,0,17700000,1,60.0,1,2.0
733,1,0,4.0513490495234645,0,3,14.0,148689932,34.0,5.0,17,0,17700000,0,60.0,0,2.0
734,1,1,3.3904255364256897,0,8,,149998514,55.0,,12,0,17700000,0,57.0,,2.0
735,1,1,2.971267211782484,0,14,11.6,48914801,27.6,10.0,19,1,17732000,,57.2,1,2.0
736,0,1,2.9355600376547715,0,6,,150110834,,5.0,7,1,17776043,,42.0,1,1.0
737,0,1,2.701756200902749,0,5,,148053764,,10.0,8,0,17800000,,44.5,1,1.0
738,1,,3.015538332689376,0,6,6.0,51775164,38.1,9.0,9,0,17800000,0,57.1,1,2.0
739,0,1,4.404181435103708,0,3,,139175915,54.0,7.0,6,0,17839800,,68.0,1,3.0
740,1,1,4.464449366766529,0,3,,50192443,68.0,7.0,5,0,17839800,0,68.0,1,2.0
741,0,1,1.2172876460060567,0,2,7.0,49549585,25.0,4.0,6,0,17846192,1,34.0,1,1.0
742,0,1,4.404181435103708,0,2,11.0,138125476,46.4,5.0,9,1,17854200,,65.4,1,2.0
743,1,,2.6126804808623967,0,3,9.0,150126125,38.0,5.0,8,0,17900000,1,58.0,1,2.0
744,0,0,4.117892573101382,0,3,10.0,150101949,66.0,12.0,6,0,17950000,1,91.5,1,4.0
745,1,1,2.587362092214654,0,8,11.0,149712465,30.0,12.0,9,0,17960000,1,51.0,1,2.0
746,1,1,3.3440535816780774,0,11,8.6,150296850,30.6,7.0,12,0,17990000,0,60.9,1,2.0
747,0,1,2.8329402612389076,0,5,6.0,150047676,18.0,8.0,9,0,18000000,1,39.0,1,1.0
748,0,,2.21620055386662,0,7,8.0,149468142,32.0,6.0,7,0,18000000,0,54.0,1,2.0
749,1,1,3.487775169638794,0,9,11.7,37580368,31.5,10.0,16,0,18000000,1,54.0,1,2.0
750,0,1,3.1475012689120203,0,1,6.0,149327524,41.0,5.0,6,0,18000000,1,61.0,1,3.0
751,1,1,3.5455101145442156,0,6,,26309806,31.0,2.0,9,0,18000000,1,50.0,1,2.0
752,1,0,2.4201023694537445,0,2,8.0,150830708,64.0,5.0,6,0,18000000,1,102.0,1,4.0
753,1,1,2.8329402612389076,0,5,9.0,148887547,20.0,10.0,9,0,18000000,,39.0,1,1.0
754,1,1,5.05685298219405,0,2,10.0,148672786,43.0,7.0,12,0,18000000,1,70.0,1,3.0
755,0,1,3.7474116950022576,0,3,5.0,150253897,42.9,5.0,4,0,18000000,0,63.8,1,2.0
756,0,1,2.8329402612389076,0,5,6.0,151002475,18.0,13.0,9,0,18000000,,39.0,1,1.0
757,1,1,2.4498590822599597,0,3,20.0,150417191,30.0,12.0,8,1,18310000,,51.0,1,1.0
758,1,,2.6241797690271818,0,1,7.0,150032074,28.0,10.0,6,0,15400000,1,49.0,0,2.0
759,0,1,1.370934703406946,0,6,16.0,18707554,90.0,7.0,7,0,89230960,1,151.0,1,4.0
760,0,,2.9383221613515453,0,1,24.0,150907371,56.0,7.0,4,0,18000000,1,84.0,1,3.0
761,1,,2.21620055386662,0,3,9.0,150963978,35.0,5.0,7,0,18000000,,58.3,1,2.0
762,1,0,4.270050373309964,0,5,8.1,151019833,42.8,10.0,7,0,18000000,0,69.0,1,2.0
763,1,1,3.995030810740369,0,13,10.4,148349545,28.7,9.0,13,1,18099200,,50.5,1,2.0
764,1,1,3.9968960278937637,0,13,10.4,150699779,28.7,5.0,13,1,18099200,,50.5,1,2.0
765,1,1,3.4850216455367233,0,6,9.0,150861062,35.0,5.0,14,0,18100000,0,55.9,1,2.0
766,0,1,2.38890095752204,0,4,8.0,142254440,32.2,10.0,8,1,18160000,,45.4,1,2.0
767,1,1,3.3904255364256897,0,11,11.0,150231878,32.0,6.0,14,0,18200000,0,57.0,0,2.0
768,0,1,0.8115954425298191,0,2,8.0,51782639,45.0,10.0,5,0,18300000,,61.0,1,3.0
769,1,0,4.4067458979531535,0,7,8.0,150578948,33.0,8.0,11,0,18300000,1,55.0,1,2.0
770,0,1,4.464449366766529,0,2,,49094436,60.9,7.0,5,0,18390000,0,60.9,1,2.0
771,0,,3.466514503201595,0,5,,150986436,,1.0,8,0,18400000,0,72.0,1,2.0
772,0,,4.3022001720850716,0,12,,148633624,,13.0,21,0,18500000,,56.0,1,1.0
773,0,0,2.312514830200491,0,1,8.0,150049090,36.9,3.0,24,0,18500000,1,51.0,1,2.0
774,1,1,3.1091521388231875,0,6,11.0,151008260,30.0,10.0,14,0,18500000,1,57.0,1,1.0
775,0,1,2.4503314531586384,0,2,7.0,150858235,37.0,5.0,7,0,18500000,,56.0,1,2.0
776,0,0,2.6602146522398047,0,2,8.0,139190472,41.0,7.0,5,0,18500000,1,51.0,0,2.0
777,1,0,4.366377908268108,0,5,10.7,150475470,51.3,10.0,17,0,18500000,1,80.0,1,3.0
778,0,0,3.176742167598512,0,1,11.0,149930756,54.9,8.0,6,0,18500000,1,82.4,1,3.0
779,0,1,2.312514830200491,0,1,17.0,150408010,24.0,3.0,30,0,18500000,,41.0,1,1.0
780,1,1,3.3440535816780774,0,11,10.0,149311866,30.0,7.0,12,0,18500000,0,52.0,0,2.0
781,0,1,2.969514628433165,0,7,6.0,148961653,35.0,9.0,7,1,18574516,,57.9,1,2.0
782,0,0,2.416621372135286,0,5,9.0,150464350,63.0,5.0,5,0,18600000,1,90.0,1,4.0
783,0,0,2.6394028335094033,0,4,12.0,150635170,56.0,4.0,6,0,18600000,1,80.0,0,3.0
784,1,1,3.3699074786755436,0,14,10.0,150149867,28.0,5.0,14,0,18600000,1,52.0,1,2.0
785,1,0,2.5852350320347353,0,10,10.0,149557888,54.0,2.0,11,0,28750000,1,83.0,1,3.0
786,1,1,1.5652047709954893,0,4,10.0,150777619,99.3,9.0,6,0,80000000,,132.0,1,3.0
787,1,1,2.723888125286292,0,6,26.0,150531915,140.0,5.0,7,0,223077400,0,300.0,1,5.0
788,1,1,3.3699074786755436,0,14,10.0,150149866,28.0,5.0,14,0,18600000,1,52.0,1,1.0
789,0,1,2.416621372135286,0,5,10.0,145205143,61.0,3.0,5,0,18600000,1,90.0,1,4.0
790,0,0,4.4067458979531535,0,4,8.0,149520412,30.5,8.0,10,0,18700000,,54.0,1,2.0
791,1,1,3.0720781837369455,0,4,9.8,150903469,63.1,5.0,8,0,18800000,1,82.0,1,3.0
792,0,1,2.2227628499992043,0,3,9.1,150425016,34.1,4.0,4,0,18900000,1,62.1,1,2.0
793,0,1,3.5530659556650654,0,2,,148282730,,13.0,7,0,19000000,1,55.0,1,1.0
794,1,,3.5717874527463787,0,3,9.0,149931516,58.0,11.0,5,0,19000000,1,80.0,1,3.0
795,1,1,2.7816901392959457,0,8,8.2,149555669,25.3,6.0,12,0,19000000,1,43.9,1,2.0
796,1,1,2.8253090018865046,0,5,7.4,150684834,41.3,4.0,7,0,19000000,,62.0,1,3.0
797,0,1,2.575617396182438,0,6,14.0,49724829,36.0,5.0,8,0,19000000,,62.0,1,2.0
798,1,0,3.676465778172987,0,2,8.6,150565221,62.7,10.0,5,0,19000000,0,85.0,1,3.0
799,1,1,4.196145394953818,0,12,,150196218,55.0,15.0,19,0,19000000,0,55.0,1,2.0
800,1,,4.138924025901922,0,4,9.0,150877089,48.0,10.0,7,0,19000000,1,76.0,1,3.0
801,1,1,4.817730772695406,0,3,10.0,43472315,49.0,11.0,25,0,19000000,1,80.5,1,3.0
802,1,1,4.196145394953818,0,12,,147695889,54.1,21.0,19,0,19000000,0,54.1,1,1.0
803,1,1,2.971267211782484,0,19,11.6,48915196,28.8,10.0,19,1,19008000,,59.4,1,2.0
804,0,,2.4498590822599597,0,3,,149725676,,6.0,8,1,19096000,,50.8,1,1.0
805,0,,2.4498590822599597,0,3,15.0,150454619,25.0,5.0,8,0,19096000,0,50.8,1,1.0
806,0,1,2.4498590822599597,0,3,,151007813,25.0,4.0,8,1,19096000,,50.8,1,1.0
807,0,1,2.4498590822599597,0,3,,150234018,,9.0,8,1,19096000,,50.8,1,1.0
808,0,1,0.8115954425298191,0,5,8.0,51751779,45.0,10.0,5,0,19200000,,64.0,1,3.0
809,0,,2.4498590822599597,0,4,,149725677,,6.0,8,1,19332000,,48.8,1,1.0
810,0,1,2.4498590822599597,0,4,15.0,150454328,25.0,5.0,8,0,19332000,,48.8,1,1.0
811,0,1,2.4498590822599597,0,4,,151007770,25.0,4.0,8,1,19332000,,49.0,1,1.0
812,0,1,2.4498590822599597,0,4,,150768602,48.8,7.0,8,1,19332000,,48.8,0,1.0
813,1,1,2.7815787030897807,0,9,9.1,150754369,18.0,10.0,12,0,12100000,,36.2,1,1.0
814,1,1,1.7125857355929333,0,4,25.0,147723884,150.0,11.0,6,0,286813800,,238.0,1,4.0
815,1,1,2.6680318324054397,0,3,20.0,148260958,110.0,7.0,10,0,117000000,,174.0,1,4.0
816,1,1,4.032870687365913,0,13,12.8,150768595,50.2,5.0,13,1,19353867,,50.2,0,1.0
817,1,1,3.995030810740369,0,13,12.8,148349518,17.9,9.0,13,1,19378867,,50.2,1,1.0
818,1,1,3.995030810740369,0,13,13.1,148352015,19.1,9.0,13,1,19378950,,50.5,1,1.0
819,1,1,2.8005720965176035,0,2,9.0,148413638,27.0,6.0,12,0,19400000,1,57.0,1,2.0
820,1,0,2.912823198815283,0,5,9.0,148317171,51.0,5.0,7,0,19450000,1,73.0,1,3.0
821,0,1,4.404181435103708,0,2,,149782798,,5.0,5,0,19498050,,71.5,1,3.0
822,0,0,4.459594026010068,0,4,,149766334,,15.0,9,0,19500000,1,45.0,1,2.0
823,1,0,3.9159510962208004,0,6,10.3,150531109,44.6,15.0,17,0,19500000,1,71.0,0,3.0
824,1,1,2.858403972139366,0,4,6.0,140962501,35.3,5.0,8,0,19500000,1,56.1,1,2.0
825,1,,2.5852350320347353,0,3,15.0,150946239,54.5,5.0,14,0,19500000,,78.8,1,3.0
826,1,0,4.745723573733478,0,11,10.0,150204287,54.2,12.0,17,0,19500000,1,84.6,1,3.0
827,1,1,4.144992212392254,0,5,6.1,144453677,42.8,8.0,8,0,19500000,1,65.4,1,3.0
828,0,0,2.8787734779757845,0,10,12.0,150781938,37.0,5.0,10,0,19500000,1,70.0,1,2.0
829,1,0,4.782788484547548,0,9,17.1,149874062,64.2,8.0,10,0,19500000,1,100.0,0,3.0
830,1,1,4.404181435103708,0,3,,150046369,60.9,7.0,5,0,19561000,0,60.9,1,2.0
831,1,1,4.4717655254398,0,3,12.0,49051224,54.0,5.0,5,0,19610000,,85.0,1,3.0
832,0,1,3.5530659556650654,0,2,20.0,140888694,30.0,10.0,7,1,19676800,,56.0,1,1.0
833,0,,3.5530659556650654,0,2,,144872471,,13.0,7,1,19723264,,54.4,1,1.0
834,1,,5.528679346438447,0,7,10.0,146577191,51.0,15.0,14,0,19800000,,82.0,1,3.0
835,1,,4.032870687365913,0,2,12.2,144137758,34.3,10.0,13,1,19821013,,65.3,1,2.0
836,1,0,2.134276164631295,0,5,8.0,148282623,35.0,4.0,9,0,19900000,1,56.0,1,2.0
837,0,0,1.7771793122204003,0,1,6.0,150057816,37.0,4.0,6,0,19900000,1,58.0,1,2.0
838,0,1,2.755330116127716,0,1,13.0,149779478,47.0,5.0,8,0,19900000,1,80.0,1,3.0
839,0,1,3.2256567000647087,0,1,11.0,144148185,71.0,5.0,4,0,19900000,1,100.0,1,5.0
840,1,,2.6339861135376843,0,4,8.9,150319162,33.3,3.0,5,0,19950000,1,58.1,1,2.0
841,1,0,8.7164950263164,1,4,6.0,43320132,22.0,10.0,9,0,8600000,,32.0,1,1.0
842,1,1,6.859043831579727,1,7,30.0,148433667,101.0,11.0,14,0,62500000,1,180.0,1,4.0
843,1,0,20.365642971615273,1,17,10.7,150942628,36.4,9.0,17,1,5280000,,58.5,0,2.0
844,1,,16.004123956496375,1,5,,150873864,,,9,1,2987010,,25.5,,1.0
845,1,,16.004123956496375,1,3,,150873858,,,9,1,3065900,,26.7,,1.0
846,1,1,15.80304849489121,1,2,,149893448,,20.0,17,1,3337675,,27.5,1,1.0
847,1,1,15.80304849489121,1,9,,149893443,,20.0,17,1,3541632,,27.6,1,1.0
848,1,1,15.80304849489121,1,2,,149893431,,20.0,17,1,3568278,,29.4,1,1.0
849,0,0,14.482574144949771,1,2,7.0,150404146,19.0,15.0,9,0,3600000,,33.0,1,1.0
850,1,0,20.365642971615273,1,17,10.0,150942642,17.9,9.0,17,1,3913000,,41.6,0,1.0
851,0,1,15.669220432058808,1,1,5.0,150784093,17.0,15.0,5,0,3950000,0,26.0,0,1.0
852,1,1,15.80304849489121,1,11,,149893413,,20.0,17,1,3972297,,30.1,1,1.0
853,0,0,8.664127733764637,1,1,3.0,150486088,14.0,15.0,12,0,4000000,,20.0,1,1.0
854,0,1,12.820360739695795,1,4,,148984143,29.8,10.0,8,0,4023689,0,29.8,0,1.0
855,1,0,20.365642971615273,1,8,9.3,150942432,18.1,9.0,17,1,4218000,,40.8,0,1.0
856,1,0,20.365642971615273,1,13,9.3,150942381,18.1,9.0,17,1,4238000,,41.0,0,1.0
857,1,0,20.365642971615273,1,10,9.3,150942570,18.1,9.0,17,1,4249000,,41.1,0,1.0
858,1,0,20.365642971615273,1,13,9.4,150942437,18.0,9.0,17,1,4259000,,41.2,0,1.0
859,1,0,20.365642971615273,1,6,9.5,150942393,18.0,9.0,17,1,4269000,,41.3,0,1.0
860,1,0,20.365642971615273,1,5,9.5,150942726,18.0,9.0,17,1,4269000,,41.3,0,1.0
861,1,0,20.365642971615273,1,9,10.0,150942644,17.9,9.0,17,1,4280000,,41.4,0,1.0
862,1,0,15.48333007832627,1,4,7.0,147362030,18.3,,5,0,4300000,1,32.1,,1.0
863,1,0,20.365642971615273,1,5,10.0,150942503,18.1,9.0,17,1,4342000,,42.0,0,1.0
864,0,1,11.798371147736795,1,5,,150801331,14.0,10.0,5,0,4350000,,18.0,0,1.0
865,0,,11.020745315912734,1,1,5.6,148704993,18.9,,5,0,4400000,1,33.4,,1.0
866,0,1,12.47289406581004,1,16,,150996181,15.0,5.0,26,1,4400000,,27.4,1,1.0
867,0,0,16.531296677933334,1,1,6.0,150180566,20.0,,5,0,4450000,1,33.0,,1.0
868,0,1,12.820360739695795,1,4,,149918725,33.1,10.0,8,0,4469265,0,33.1,0,1.0
869,1,1,12.461316999869297,1,18,16.9,148969133,13.5,7.0,26,1,6912000,,43.2,1,1.0
870,1,1,12.47289406581004,1,2,,150068581,,2.0,29,1,7575500,,54.5,1,2.0
871,1,1,5.114806808977339,1,17,17.3,149628742,37.4,10.0,17,1,29682000,,87.3,1,2.0
872,1,,16.004123956496375,1,5,,150873864,,,9,1,2987010,,25.5,,1.0
873,1,,16.004123956496375,1,3,,150873858,,,9,1,3065900,,26.7,,1.0
874,1,1,15.80304849489121,1,2,,149893448,,20.0,17,1,3337675,,27.5,1,1.0
875,1,1,15.80304849489121,1,9,,149893443,,20.0,17,1,3541632,,27.6,1,1.0
876,1,1,15.80304849489121,1,2,,149893431,,20.0,17,1,3568278,,29.4,1,1.0
877,0,0,14.482574144949771,1,2,7.0,150404146,19.0,15.0,9,0,3600000,,33.0,1,1.0
878,1,0,20.365642971615273,1,17,10.0,150942642,17.9,9.0,17,1,3913000,,41.6,0,1.0
879,0,1,15.669220432058808,1,1,5.0,150784093,17.0,15.0,5,0,3950000,0,26.0,0,1.0
880,1,1,15.80304849489121,1,11,,149893413,,20.0,17,1,3972297,,30.1,1,1.0
881,0,0,8.664127733764637,1,1,3.0,150486088,14.0,15.0,12,0,4000000,,20.0,1,1.0
882,0,1,12.820360739695795,1,4,,148984143,29.8,10.0,8,0,4023689,0,29.8,0,1.0
883,1,0,20.365642971615273,1,8,9.3,150942432,18.1,9.0,17,1,4218000,,40.8,0,1.0
884,1,0,20.365642971615273,1,13,9.3,150942381,18.1,9.0,17,1,4238000,,41.0,0,1.0
885,1,0,20.365642971615273,1,10,9.3,150942570,18.1,9.0,17,1,4249000,,41.1,0,1.0
886,1,0,20.365642971615273,1,13,9.4,150942437,18.0,9.0,17,1,4259000,,41.2,0,1.0
887,1,0,20.365642971615273,1,6,9.5,150942393,18.0,9.0,17,1,4269000,,41.3,0,1.0
888,1,0,20.365642971615273,1,5,9.5,150942726,18.0,9.0,17,1,4269000,,41.3,0,1.0
889,1,0,20.365642971615273,1,9,10.0,150942644,17.9,9.0,17,1,4280000,,41.4,0,1.0
890,1,0,15.48333007832627,1,4,7.0,147362030,18.3,,5,0,4300000,1,32.1,,1.0
891,1,0,20.365642971615273,1,5,10.0,150942503,18.1,9.0,17,1,4342000,,42.0,0,1.0
892,0,1,11.798371147736795,1,5,,150801331,14.0,10.0,5,0,4350000,,18.0,0,1.0
893,0,,11.020745315912734,1,1,5.6,148704993,18.9,,5,0,4400000,1,33.4,,1.0
894,0,1,12.47289406581004,1,16,,150996181,15.0,5.0,26,1,4400000,,27.4,1,1.0
895,0,0,16.531296677933334,1,1,6.0,150180566,20.0,,5,0,4450000,1,33.0,,1.0
896,0,1,12.820360739695795,1,4,,149918725,33.1,10.0,8,0,4469265,0,33.1,0,1.0
897,0,1,8.745034324742406,1,19,10.0,150435545,70.0,3.0,26,0,46000000,1,102.0,1,2.0
898,0,,4.9019091566622235,1,13,13.0,150767425,40.0,2.0,37,0,22000000,1,67.7,1,2.0
899,0,1,12.501665460005702,1,4,20.0,150572301,19.0,7.0,26,0,7500000,0,43.0,1,2.0
900,1,,16.004123956496375,1,5,,150873864,,,9,1,2987010,,25.5,,1.0
901,1,,16.004123956496375,1,3,,150873858,,,9,1,3065900,,26.7,,1.0
902,1,1,15.80304849489121,1,2,,149893448,,20.0,17,1,3337675,,27.5,1,1.0
903,1,1,15.80304849489121,1,9,,149893443,,20.0,17,1,3541632,,27.6,1,1.0
904,1,1,15.80304849489121,1,2,,149893431,,20.0,17,1,3568278,,29.4,1,1.0
905,0,0,14.482574144949771,1,2,7.0,150404146,19.0,15.0,9,0,3600000,,33.0,1,1.0
906,1,0,20.365642971615273,1,17,10.0,150942642,17.9,9.0,17,1,3913000,,41.6,0,1.0
907,0,1,15.669220432058808,1,1,5.0,150784093,17.0,15.0,5,0,3950000,0,26.0,0,1.0
908,1,1,15.80304849489121,1,11,,149893413,,20.0,17,1,3972297,,30.1,1,1.0
909,0,0,8.664127733764637,1,1,3.0,150486088,14.0,15.0,12,0,4000000,,20.0,1,1.0
910,0,1,12.820360739695795,1,4,,148984143,29.8,10.0,8,0,4023689,0,29.8,0,1.0
911,1,0,20.365642971615273,1,8,9.3,150942432,18.1,9.0,17,1,4218000,,40.8,0,1.0
912,1,0,20.365642971615273,1,13,9.3,150942381,18.1,9.0,17,1,4238000,,41.0,0,1.0
913,1,0,20.365642971615273,1,10,9.3,150942570,18.1,9.0,17,1,4249000,,41.1,0,1.0
914,1,0,20.365642971615273,1,13,9.4,150942437,18.0,9.0,17,1,4259000,,41.2,0,1.0
915,1,0,20.365642971615273,1,6,9.5,150942393,18.0,9.0,17,1,4269000,,41.3,0,1.0
916,1,0,20.365642971615273,1,5,9.5,150942726,18.0,9.0,17,1,4269000,,41.3,0,1.0
917,1,0,20.365642971615273,1,9,10.0,150942644,17.9,9.0,17,1,4280000,,41.4,0,1.0
918,1,0,15.48333007832627,1,4,7.0,147362030,18.3,,5,0,4300000,1,32.1,,1.0
919,1,0,20.365642971615273,1,5,10.0,150942503,18.1,9.0,17,1,4342000,,42.0,0,1.0
920,0,1,11.798371147736795,1,5,,150801331,14.0,10.0,5,0,4350000,,18.0,0,1.0
921,0,,11.020745315912734,1,1,5.6,148704993,18.9,,5,0,4400000,1,33.4,,1.0
922,0,1,12.47289406581004,1,16,,150996181,15.0,5.0,26,1,4400000,,27.4,1,1.0
923,0,0,16.531296677933334,1,1,6.0,150180566,20.0,,5,0,4450000,1,33.0,,1.0
924,0,1,12.820360739695795,1,4,,149918725,33.1,10.0,8,0,4469265,0,33.1,0,1.0
925,1,1,13.063624988611618,1,18,12.0,150759121,98.0,5.0,25,0,25278000,1,153.2,0,3.0
926,0,1,12.820360739695795,1,8,,149622435,54.3,,8,0,9445876,1,54.3,,2.0
927,1,0,4.504476673668303,1,9,8.0,150997950,32.0,10.0,9,0,11450000,1,47.0,1,2.0
928,1,,16.004123956496375,1,5,,150873864,,,9,1,2987010,,25.5,,1.0
929,1,,16.004123956496375,1,3,,150873858,,,9,1,3065900,,26.7,,1.0
930,1,1,15.80304849489121,1,2,,149893448,,20.0,17,1,3337675,,27.5,1,1.0
931,1,1,15.80304849489121,1,9,,149893443,,20.0,17,1,3541632,,27.6,1,1.0
932,1,1,15.80304849489121,1,2,,149893431,,20.0,17,1,3568278,,29.4,1,1.0
933,0,0,14.482574144949771,1,2,7.0,150404146,19.0,15.0,9,0,3600000,,33.0,1,1.0
934,1,0,20.365642971615273,1,17,10.0,150942642,17.9,9.0,17,1,3913000,,41.6,0,1.0
935,0,1,15.669220432058808,1,1,5.0,150784093,17.0,15.0,5,0,3950000,0,26.0,0,1.0
936,1,1,15.80304849489121,1,11,,149893413,,20.0,17,1,3972297,,30.1,1,1.0
937,0,0,8.664127733764637,1,1,3.0,150486088,14.0,15.0,12,0,4000000,,20.0,1,1.0
938,0,1,12.820360739695795,1,4,,148984143,29.8,10.0,8,0,4023689,0,29.8,0,1.0
939,1,0,20.365642971615273,1,8,9.3,150942432,18.1,9.0,17,1,4218000,,40.8,0,1.0
940,1,0,20.365642971615273,1,13,9.3,150942381,18.1,9.0,17,1,4238000,,41.0,0,1.0
941,1,0,20.365642971615273,1,10,9.3,150942570,18.1,9.0,17,1,4249000,,41.1,0,1.0
942,1,0,20.365642971615273,1,13,9.4,150942437,18.0,9.0,17,1,4259000,,41.2,0,1.0
943,1,0,20.365642971615273,1,6,9.5,150942393,18.0,9.0,17,1,4269000,,41.3,0,1.0
944,1,0,20.365642971615273,1,5,9.5,150942726,18.0,9.0,17,1,4269000,,41.3,0,1.0
945,1,0,20.365642971615273,1,9,10.0,150942644,17.9,9.0,17,1,4280000,,41.4,0,1.0
946,1,0,15.48333007832627,1,4,7.0,147362030,18.3,,5,0,4300000,1,32.1,,1.0
947,1,0,20.365642971615273,1,5,10.0,150942503,18.1,9.0,17,1,4342000,,42.0,0,1.0
948,0,1,11.798371147736795,1,5,,150801331,14.0,10.0,5,0,4350000,,18.0,0,1.0
949,0,,11.020745315912734,1,1,5.6,148704993,18.9,,5,0,4400000,1,33.4,,1.0
950,0,1,12.47289406581004,1,16,,150996181,15.0,5.0,26,1,4400000,,27.4,1,1.0
951,0,0,16.531296677933334,1,1,6.0,150180566,20.0,,5,0,4450000,1,33.0,,1.0
952,0,1,12.820360739695795,1,4,,149918725,33.1,10.0,8,0,4469265,0,33.1,0,1.0
953,1,,15.093539912661118,1,12,13.0,150875833,37.0,7.0,28,0,14500000,,73.0,1,2.0
954,1,1,16.12007583242613,1,3,6.0,148261575,26.0,,9,0,5100000,1,40.0,,2.0
955,0,0,14.905690804679361,1,3,3.0,148907888,8.4,,9,0,2914000,1,12.4,,1.0
956,1,,16.004123956496375,1,5,,150873864,,,9,1,2987010,,25.5,,1.0
957,1,,16.004123956496375,1,3,,150873858,,,9,1,3065900,,26.7,,1.0
958,1,1,15.80304849489121,1,2,,149893448,,20.0,17,1,3337675,,27.5,1,1.0
959,1,1,15.80304849489121,1,9,,149893443,,20.0,17,1,3541632,,27.6,1,1.0
960,1,1,15.80304849489121,1,2,,149893431,,20.0,17,1,3568278,,29.4,1,1.0
961,0,0,14.482574144949771,1,2,7.0,150404146,19.0,15.0,9,0,3600000,,33.0,1,1.0
962,1,0,20.365642971615273,1,17,10.0,150942642,17.9,9.0,17,1,3913000,,41.6,0,1.0
963,0,1,15.669220432058808,1,1,5.0,150784093,17.0,15.0,5,0,3950000,0,26.0,0,1.0
964,1,1,15.80304849489121,1,11,,149893413,,20.0,17,1,3972297,,30.1,1,1.0
965,0,0,8.664127733764637,1,1,3.0,150486088,14.0,15.0,12,0,4000000,,20.0,1,1.0
966,0,1,12.820360739695795,1,4,,148984143,29.8,10.0,8,0,4023689,0,29.8,0,1.0
967,1,0,20.365642971615273,1,8,9.3,150942432,18.1,9.0,17,1,4218000,,40.8,0,1.0
968,1,0,20.365642971615273,1,13,9.3,150942381,18.1,9.0,17,1,4238000,,41.0,0,1.0
969,1,0,20.365642971615273,1,10,9.3,150942570,18.1,9.0,17,1,4249000,,41.1,0,1.0
970,1,0,20.365642971615273,1,13,9.4,150942437,18.0,9.0,17,1,4259000,,41.2,0,1.0
971,1,0,20.365642971615273,1,6,9.5,150942393,18.0,9.0,17,1,4269000,,41.3,0,1.0
972,1,0,20.365642971615273,1,5,9.5,150942726,18.0,9.0,17,1,4269000,,41.3,0,1.0
973,1,0,20.365642971615273,1,9,10.0,150942644,17.9,9.0,17,1,4280000,,41.4,0,1.0
974,1,0,15.48333007832627,1,4,7.0,147362030,18.3,,5,0,4300000,1,32.1,,1.0
975,1,0,20.365642971615273,1,5,10.0,150942503,18.1,9.0,17,1,4342000,,42.0,0,1.0
976,0,1,11.798371147736795,1,5,,150801331,14.0,10.0,5,0,4350000,,18.0,0,1.0
977,0,,11.020745315912734,1,1,5.6,148704993,18.9,,5,0,4400000,1,33.4,,1.0
978,0,1,12.47289406581004,1,16,,150996181,15.0,5.0,26,1,4400000,,27.4,1,1.0
979,0,0,16.531296677933334,1,1,6.0,150180566,20.0,,5,0,4450000,1,33.0,,1.0
980,0,1,12.820360739695795,1,4,,149918725,33.1,10.0,8,0,4469265,0,33.1,0,1.0
981,1,1,15.80304849489121,1,2,,149893512,,20.0,17,1,3260464,,27.2,1,1.0
982,1,1,7.392161212569449,1,27,48.0,150120026,90.0,8.0,30,0,42000000,1,140.0,1,4.0
983,1,,8.053202306266972,1,4,6.0,150247633,26.0,8.0,5,0,9900000,1,40.6,1,2.0
984,1,,16.004123956496375,1,5,,150873864,,,9,1,2987010,,25.5,,1.0
985,1,,16.004123956496375,1,3,,150873858,,,9,1,3065900,,26.7,,1.0
986,1,1,15.80304849489121,1,2,,149893448,,20.0,17,1,3337675,,27.5,1,1.0
987,1,1,15.80304849489121,1,9,,149893443,,20.0,17,1,3541632,,27.6,1,1.0
988,1,1,15.80304849489121,1,2,,149893431,,20.0,17,1,3568278,,29.4,1,1.0
989,0,0,14.482574144949771,1,2,7.0,150404146,19.0,15.0,9,0,3600000,,33.0,1,1.0
990,1,0,20.365642971615273,1,17,10.0,150942642,17.9,9.0,17,1,3913000,,41.6,0,1.0
991,0,1,15.669220432058808,1,1,5.0,150784093,17.0,15.0,5,0,3950000,0,26.0,0,1.0
992,1,1,15.80304849489121,1,11,,149893413,,20.0,17,1,3972297,,30.1,1,1.0
993,0,0,8.664127733764637,1,1,3.0,150486088,14.0,15.0,12,0,4000000,,20.0,1,1.0
994,0,1,12.820360739695795,1,4,,148984143,29.8,10.0,8,0,4023689,0,29.8,0,1.0
995,1,0,20.365642971615273,1,8,9.3,150942432,18.1,9.0,17,1,4218000,,40.8,0,1.0
996,1,0,20.365642971615273,1,13,9.3,150942381,18.1,9.0,17,1,4238000,,41.0,0,1.0
997,1,0,20.365642971615273,1,10,9.3,150942570,18.1,9.0,17,1,4249000,,41.1,0,1.0
